title,description,url,published_date,source,country,language
Amarnath Yatra suspended from Jammu due to bad weather,The yatra was suspended from both Pahalgam and Baltal base camps following heavy rains and landslides,https://www.thehindu.com/news/national/jammu-and-kashmir/amarnath-yatra-suspended-from-jammu-due-to-bad-weather/article69821639.ece,2025-07-17T08:35:56,The Hindu,India,en
Kudumbashrees Jana Galsa to give tribal art forms a new lease of life,Project will transform tribal art forms into viable enterprises that can generate employment and income for the indigenous people,https://www.thehindu.com/news/national/kerala/kudumbashrees-jana-galsa-to-give-tribal-art-forms-a-new-lease-of-life/article69819557.ece,2025-07-17T07:42:01,The Hindu,India,en
"Jagan acting like a destructive force, says TDP MLA Nakka Ananda Babu","It was Jagan Mohan Reddy who had governed the State in an authoritarian manner for five years, registered false cases against thousands and empowered the police system to achieve his personal vendetta against the opposition leaders, he alleges",https://www.thehindu.com/news/national/andhra-pradesh/jagan-acting-like-a-destructive-force-says-tdp-mla-nakka-ananda-babu/article69819372.ece,2025-07-17T07:24:50,The Hindu,India,en
Two shootings in 12 hours Multiple teams deployed to trace absconding suspects,"The attackers, believed to be four to five in number, have been identified and are currently on the run",https://www.thehindu.com/news/national/telangana/two-shootings-in-12-hours-multiple-teams-deployed-to-trace-absconding-suspects/article69818894.ece,2025-07-17T07:11:14,The Hindu,India,en
"West Bengal once again, without explanation, delays UG admission to colleges run and aided by it",Lakhs of students applying for these colleges staring at uncertainty while privateautonomous institutions are set to begin classes shortly,https://www.thehindu.com/news/national/west-bengal/west-bengal-once-again-without-explanation-delays-ug-admission-to-colleges-run-and-aided-by-it/article69818831.ece,2025-07-17T06:57:01,The Hindu,India,en
Opposition slams Nitesh Rane for fuelling communal tensions with azaan remark,Nitish Rane suggested Marathi should be used in madrasas and for Azaan,https://www.thehindu.com/news/national/maharashtra/opposition-slams-nitesh-rane-for-fuelling-communal-tensions-with-azaan-remark/article69819902.ece,2025-07-17T06:50:05,The Hindu,India,en
Centre praises Rajasthans efforts to prevent food adulteration,The public awareness campaign on food safety has yielded good results in Rajasthan,https://www.thehindu.com/news/national/rajasthan/centre-praises-rajasthans-efforts-to-prevent-food-adulteration/article69819536.ece,2025-07-17T06:01:00,The Hindu,India,en
Nitish Kumar asks education department to speed up recruitment of teachers,Opposition Rashtriya Janata Dal RJD termed the announcement of Chief Minister as a mere election slogan and it will get stuck in the model code of conduct MCC.,https://www.thehindu.com/news/national/bihar/nitish-kumar-asks-education-department-to-speed-up-recruitment-of-teachers/article69819369.ece,2025-07-17T05:41:00,The Hindu,India,en
"41,193 children rescued, 4960 missing women traced under Operation Muskan CM Fadnavis",The issue of missing women was raised in the assembly after Shiv Sena UBT MLC Sunil Shinde asked for the status of the proposal to Track missing women.,https://www.thehindu.com/news/national/maharashtra/41193-children-rescued-4960-missing-women-traced-under-operation-muskan-cm-fadnavis/article69819701.ece,2025-07-17T05:23:00,The Hindu,India,en
"Tripura CM claims incumbent BJP-led coalition government provided nearly 20,000 regular jobs",Dr Manik Saha advised youths to take advantage of entrepreneurship engagements and not to wait only for government jobs,https://www.thehindu.com/news/national/tripura/tripura-cm-claims-incumbent-bjp-led-coalition-government-provided-nearly-20000-regular-jobs/article69820626.ece,2025-07-17T04:53:00,The Hindu,India,en
Bihar government set up cell to maintain data bank of Supari killers,The Bihar Police also suspended a station house officer SHO for dereliction of duty in connection with the murder of Patna based industrialist Gopal Khemka.,https://www.thehindu.com/news/national/bihar/bihar-government-set-up-cell-to-maintain-data-bank-of-supari-killers/article69819757.ece,2025-07-17T04:21:00,The Hindu,India,en
"Report on Swarna Andhra a comprehensive blueprint for economic growth, says CM",,https://www.thehindu.com/news/national/andhra-pradesh/report-on-swarna-andhra-a-comprehensive-blueprint-for-economic-growth-says-cm/article69820298.ece,2025-07-17T04:07:46,The Hindu,India,en
Naidu releases report of Task Force on Economic Development for Swarna Andhra Pradesh,The expert panel has made a host of recommendations to the government on diverse sectors that have the potential to catapult it to the league of progressive States,https://www.thehindu.com/news/national/andhra-pradesh/naidu-releases-report-of-task-force-on-economic-development-for-swarna-andhra-pradesh/article69819891.ece,2025-07-17T04:04:07,The Hindu,India,en
Gujarat launches Indias first tribal genome project to tackle inherited diseases,"The Tribal Genome Sequencing Project is an initiative by the government to sequence the genomes of 2,000 people belonging to tribal communities across 17 districts in the State",https://www.thehindu.com/sci-tech/science/gujarat-launches-indias-first-tribal-genome-project-to-tackle-inherited-diseases/article69819673.ece,2025-07-17T04:04:00,The Hindu,India,en
New NCERT textbook explains how colonial powers stole Indias wealth,"The general thrust of Britains dominance in India was plunder and exploitation, says NCERT official",https://www.thehindu.com/news/national/new-ncert-textbook-explains-how-colonial-powers-stole-indias-wealth/article69820188.ece,2025-07-17T03:51:00,The Hindu,India,en
A.P. and Telangana resolve key river water issues in New Delhi meeting,"Both States agree to share data reservoirs and preserve Srisailam project KRMB will be headquartered in Amaravati, while GRMB will remain in Hyderabad",https://www.thehindu.com/news/national/andhra-pradesh/ap-and-telangana-resolve-key-river-water-issues-in-new-delhi-meeting/article69819711.ece,2025-07-17T03:48:13,The Hindu,India,en
NHRC issues notice to Delhi and UP government over drowning of two kids in public places,"Observing that the incidents raise serious issues of violation of human rights of the victims, the commission had issued notice calling for a detailed report on the matter within two weeks.",https://www.thehindu.com/news/national/nhrc-issues-notice-to-delhi-and-up-government-over-drowning-of-two-kids-in-public-places/article69820142.ece,2025-07-17T03:19:00,The Hindu,India,en
Calcutta High Court dismisses teachers petitions against new SSC recruitment rules,Untainted teachers say they are losing faith in the judicial system to offer them justice and said they are being criminalised for corruption done by government authorities,https://www.thehindu.com/news/national/west-bengal/calcutta-high-court-dismisses-teachers-petitions-against-new-ssc-recruitment-rules/article69819236.ece,2025-07-17T03:03:00,The Hindu,India,en
